orders,productid,discounts,views_per_hour_prev_day,online_adv_prev_day,rain,temperature,day
9,36,0.18,658,2,0,7.81,2017-01-02
17,37,0.15,390,8,0,7.81,2017-01-02
24,38,0.16,295,3,0,7.81,2017-01-02
23,39,0.21,569,6,0,7.81,2017-01-02
12,40,0.1,240,10,0,7.81,2017-01-02
6,41,0.2,881,6,0,7.81,2017-01-02
7,42,0.13,413,6,0,7.81,2017-01-02
7,43,0.22,176,3,0,7.81,2017-01-02
12,44,0.11,536,6,0,7.81,2017-01-02
25,45,0.2,853,1,0,7.81,2017-01-02
12,46,0.13,964,8,0,7.81,2017-01-02
20,47,0.2,508,4,0,7.81,2017-01-02
11,48,0.17,474,5,0,7.81,2017-01-02
20,49,0.16,258,4,0,7.81,2017-01-02
20,50,0.2,632,3,0,7.81,2017-01-02
13,51,0.11,666,8,0,7.81,2017-01-02
7,52,0.18,108,6,0,7.81,2017-01-02
19,53,0.18,158,8,0,7.81,2017-01-02
12,54,0.14,338,6,0,7.81,2017-01-02
24,55,0.17,941,3,0,7.81,2017-01-02
15,56,0.17,822,7,0,7.81,2017-01-02
10,57,0.18,568,6,0,7.81,2017-01-02
23,58,0.22,203,3,0,7.81,2017-01-02
15,59,0.13,830,2,0,7.81,2017-01-02
13,60,0.18,852,7,0,7.81,2017-01-02
6,61,0.2,80,10,0,7.81,2017-01-02
16,62,0.12,216,6,0,7.81,2017-01-02
15,63,0.18,496,4,0,7.81,2017-01-02
17,64,0.13,529,1,0,7.81,2017-01-02
19,65,0.15,469,1,0,7.81,2017-01-02
6,66,0.1,854,7,0,7.81,2017-01-02
4,67,0.15,270,1,0,7.81,2017-01-02
9,68,0.14,203,8,0,7.81,2017-01-02
23,69,0.22,729,6,0,7.81,2017-01-02
8,70,0.15,943,4,0,7.81,2017-01-02
8,71,0.14,1030,9,0,7.81,2017-01-02
16,72,0.19,61,5,0,7.81,2017-01-02
10,73,0.22,271,2,0,7.81,2017-01-02
17,74,0.19,571,3,0,7.81,2017-01-02
4,75,0.13,477,10,0,7.81,2017-01-02
17,76,0.13,85,6,0,7.81,2017-01-02
14,77,0.11,950,6,0,7.81,2017-01-02
10,78,0.13,939,2,0,7.81,2017-01-02
20,79,0.2,698,3,0,7.81,2017-01-02
13,80,0.15,148,2,0,7.81,2017-01-02
15,81,0.15,155,3,0,7.81,2017-01-02
5,82,0.16,321,7,0,7.81,2017-01-02
22,83,0.18,99,8,0,7.81,2017-01-02
20,84,0.13,268,5,0,7.81,2017-01-02
22,85,0.15,446,10,0,7.81,2017-01-02
12,86,0.14,215,2,0,7.81,2017-01-02
16,87,0.16,513,6,0,7.81,2017-01-02
10,88,0.14,480,2,0,7.81,2017-01-02
8,89,0.16,299,8,0,7.81,2017-01-02
14,90,0.14,565,6,0,7.81,2017-01-02
11,91,0.11,225,6,0,7.81,2017-01-02
16,92,0.15,675,5,0,7.81,2017-01-02
13,93,0.14,551,3,0,7.81,2017-01-02
17,94,0.1,381,2,0,7.81,2017-01-02
13,95,0.16,412,7,0,7.81,2017-01-02
19,96,0.19,503,6,0,7.81,2017-01-02
13,97,0.16,905,2,0,7.81,2017-01-02
21,98,0.17,321,5,0,7.81,2017-01-02
13,99,0.15,712,7,0,7.81,2017-01-02
18,100,0.2,496,2,0,7.81,2017-01-02
18,1,0.17,913,10,0,-3.58,2017-01-03
15,2,0.17,918,3,0,-3.58,2017-01-03
15,3,0.17,485,8,0,-3.58,2017-01-03
12,4,0.14,428,7,0,-3.58,2017-01-03
23,5,0.17,418,8,0,-3.58,2017-01-03
19,6,0.17,991,2,0,-3.58,2017-01-03
19,7,0.19,748,2,0,-3.58,2017-01-03
11,8,0.2,44,6,0,-3.58,2017-01-03
12,9,0.17,947,3,0,-3.58,2017-01-03
18,10,0.13,421,8,0,-3.58,2017-01-03
21,11,0.13,827,7,0,-3.58,2017-01-03
15,12,0.14,555,8,0,-3.58,2017-01-03
13,13,0.14,927,1,0,-3.58,2017-01-03
14,14,0.19,183,1,0,-3.58,2017-01-03
11,15,0.14,136,1,0,-3.58,2017-01-03
7,16,0.23,751,7,0,-3.58,2017-01-03
13,17,0.2,348,2,0,-3.58,2017-01-03
11,18,0.14,128,3,0,-3.58,2017-01-03
17,19,0.16,656,10,0,-3.58,2017-01-03
2,20,0.2,257,9,0,-3.58,2017-01-03
11,21,0.16,720,10,0,-3.58,2017-01-03
17,22,0.16,510,1,0,-3.58,2017-01-03
18,23,0.15,87,1,0,-3.58,2017-01-03
22,24,0.15,362,1,0,-3.58,2017-01-03
16,25,0.12,384,2,0,-3.58,2017-01-03
14,26,0.14,145,1,0,-3.58,2017-01-03
20,27,0.17,832,8,0,-3.58,2017-01-03
21,28,0.19,226,4,0,-3.58,2017-01-03
6,29,0.22,700,1,0,-3.58,2017-01-03
15,30,0.14,645,6,0,-3.58,2017-01-03
19,31,0.13,832,6,0,-3.58,2017-01-03
17,32,0.11,283,8,0,-3.58,2017-01-03
10,33,0.15,784,7,0,-3.58,2017-01-03
9,34,0.15,200,5,0,-3.58,2017-01-03
11,35,0.18,734,8,0,-3.58,2017-01-03
14,36,0.19,686,9,0,-3.58,2017-01-03
21,37,0.16,346,7,0,-3.58,2017-01-03
21,38,0.15,323,5,0,-3.58,2017-01-03
20,39,0.17,519,5,0,-3.58,2017-01-03
12,40,0.19,232,4,0,-3.58,2017-01-03
9,41,0.18,823,10,0,-3.58,2017-01-03
6,42,0.13,424,5,0,-3.58,2017-01-03
16,43,0.15,143,5,0,-3.58,2017-01-03
9,44,0.15,506,6,0,-3.58,2017-01-03
22,45,0.18,900,1,0,-3.58,2017-01-03
15,46,0.21,965,8,0,-3.58,2017-01-03
19,47,0.22,509,2,0,-3.58,2017-01-03
12,48,0.19,481,6,0,-3.58,2017-01-03
17,49,0.17,273,7,0,-3.58,2017-01-03
20,50,0.24,634,7,0,-3.58,2017-01-03
12,51,0.12,679,7,0,-3.58,2017-01-03
15,52,0.14,95,10,0,-3.58,2017-01-03
18,53,0.14,141,4,0,-3.58,2017-01-03
18,54,0.15,310,6,0,-3.58,2017-01-03
21,55,0.17,914,3,0,-3.58,2017-01-03
21,56,0.13,886,3,0,-3.58,2017-01-03
7,57,0.15,579,6,0,-3.58,2017-01-03
26,58,0.08,192,8,0,-3.58,2017-01-03
22,59,0.23,836,9,0,-3.58,2017-01-03
16,60,0.11,862,8,0,-3.58,2017-01-03
10,61,0.12,68,7,0,-3.58,2017-01-03
17,62,0.15,248,9,0,-3.58,2017-01-03
20,63,0.13,489,9,0,-3.58,2017-01-03
12,64,0.17,491,1,0,-3.58,2017-01-03
14,65,0.18,495,7,0,-3.58,2017-01-03
11,66,0.15,896,3,0,-3.58,2017-01-03
8,67,0.15,238,10,0,-3.58,2017-01-03
8,68,0.16,201,6,0,-3.58,2017-01-03
9,69,0.12,764,9,0,-3.58,2017-01-03
7,70,0.14,947,5,0,-3.58,2017-01-03
7,71,0.12,1007,7,0,-3.58,2017-01-03
10,72,0.14,73,2,0,-3.58,2017-01-03
18,73,0.1,261,8,0,-3.58,2017-01-03
16,74,0.2,549,1,0,-3.58,2017-01-03
4,75,0.16,446,8,0,-3.58,2017-01-03
11,76,0.08,99,9,0,-3.58,2017-01-03
15,77,0.19,896,4,0,-3.58,2017-01-03
14,78,0.14,909,2,0,-3.58,2017-01-03
16,79,0.16,689,8,0,-3.58,2017-01-03
13,80,0.12,150,5,0,-3.58,2017-01-03
13,81,0.16,158,6,0,-3.58,2017-01-03
6,82,0.19,348,4,0,-3.58,2017-01-03
22,83,0.15,112,10,0,-3.58,2017-01-03
18,84,0.13,235,4,0,-3.58,2017-01-03
17,85,0.08,477,8,0,-3.58,2017-01-03
5,86,0.16,245,4,0,-3.58,2017-01-03
20,87,0.11,487,2,0,-3.58,2017-01-03
10,88,0.19,433,5,0,-3.58,2017-01-03
15,89,0.15,258,9,0,-3.58,2017-01-03
13,90,0.15,561,2,0,-3.58,2017-01-03
12,91,0.11,233,4,0,-3.58,2017-01-03
22,92,0.24,675,6,0,-3.58,2017-01-03
12,93,0.17,537,5,0,-3.58,2017-01-03
14,94,0.17,370,8,0,-3.58,2017-01-03
14,95,0.15,389,6,0,-3.58,2017-01-03
17,96,0.18,510,4,0,-3.58,2017-01-03
12,97,0.19,958,2,0,-3.58,2017-01-03
15,98,0.15,296,5,0,-3.58,2017-01-03
21,99,0.16,657,10,0,-3.58,2017-01-03
19,100,0.21,491,7,0,-3.58,2017-01-03
14,1,0.1,934,1,0,2.9,2017-01-04
8,2,0.13,880,3,0,2.9,2017-01-04
19,3,0.16,444,6,0,2.9,2017-01-04
4,4,0.21,392,8,0,2.9,2017-01-04
19,5,0.2,364,3,0,2.9,2017-01-04
21,6,0.11,984,6,0,2.9,2017-01-04
19,7,0.22,735,5,0,2.9,2017-01-04
16,8,0.15,47,5,0,2.9,2017-01-04
18,9,0.15,1004,3,0,2.9,2017-01-04
21,10,0.15,404,5,0,2.9,2017-01-04
18,11,0.16,844,8,0,2.9,2017-01-04
9,12,0.16,619,3,0,2.9,2017-01-04
18,13,0.18,968,2,0,2.9,2017-01-04
17,14,0.09,174,3,0,2.9,2017-01-04
15,15,0.09,141,3,0,2.9,2017-01-04
13,16,0.15,753,9,0,2.9,2017-01-04
15,17,0.17,347,2,0,2.9,2017-01-04
19,18,0.18,113,8,0,2.9,2017-01-04
17,19,0.1,634,4,0,2.9,2017-01-04
6,20,0.18,286,8,0,2.9,2017-01-04
9,21,0.17,733,2,0,2.9,2017-01-04
3,22,0.26,459,8,0,2.9,2017-01-04
19,23,0.14,93,3,0,2.9,2017-01-04
24,24,0.18,310,3,0,2.9,2017-01-04
18,25,0.12,381,6,0,2.9,2017-01-04
8,26,0.19,140,8,0,2.9,2017-01-04
13,27,0.1,818,8,0,2.9,2017-01-04
12,28,0.11,195,9,0,2.9,2017-01-04
6,29,0.11,707,8,0,2.9,2017-01-04
11,30,0.19,666,7,0,2.9,2017-01-04
20,31,0.11,850,4,0,2.9,2017-01-04
20,32,0.15,299,7,0,2.9,2017-01-04
13,33,0.17,778,6,0,2.9,2017-01-04
10,34,0.15,172,1,0,2.9,2017-01-04
6,35,0.14,687,2,0,2.9,2017-01-04
18,36,0.12,713,5,0,2.9,2017-01-04
19,37,0.18,374,8,0,2.9,2017-01-04
18,38,0.25,301,5,0,2.9,2017-01-04
22,39,0.14,575,10,0,2.9,2017-01-04
18,40,0.18,212,10,0,2.9,2017-01-04
12,41,0.21,798,9,0,2.9,2017-01-04
13,42,0.15,380,8,0,2.9,2017-01-04
10,43,0.19,169,5,0,2.9,2017-01-04
6,44,0.17,479,4,0,2.9,2017-01-04
22,45,0.14,935,5,0,2.9,2017-01-04
12,46,0.11,979,5,0,2.9,2017-01-04
22,47,0.18,550,4,0,2.9,2017-01-04
17,48,0.07,517,5,0,2.9,2017-01-04
17,49,0.21,260,8,0,2.9,2017-01-04
19,50,0.17,656,9,0,2.9,2017-01-04
8,51,0.2,667,8,0,2.9,2017-01-04
14,52,0.16,94,9,0,2.9,2017-01-04
18,53,0.17,142,8,0,2.9,2017-01-04
16,54,0.1,334,1,0,2.9,2017-01-04
22,55,0.15,918,8,0,2.9,2017-01-04
19,56,0.15,866,1,0,2.9,2017-01-04
7,57,0.17,523,3,0,2.9,2017-01-04
25,58,0.15,207,6,0,2.9,2017-01-04
12,59,0.19,774,5,0,2.9,2017-01-04
20,60,0.12,899,4,0,2.9,2017-01-04
13,61,0.1,66,7,0,2.9,2017-01-04
17,62,0.16,248,10,0,2.9,2017-01-04
15,63,0.12,564,8,0,2.9,2017-01-04
15,64,0.2,491,4,0,2.9,2017-01-04
20,65,0.08,515,6,0,2.9,2017-01-04
5,66,0.09,837,6,0,2.9,2017-01-04
8,67,0.1,245,7,0,2.9,2017-01-04
3,68,0.19,170,5,0,2.9,2017-01-04
13,69,0.15,754,5,0,2.9,2017-01-04
14,70,0.17,1068,2,0,2.9,2017-01-04
7,71,0.13,1017,4,0,2.9,2017-01-04
14,72,0.17,67,4,0,2.9,2017-01-04
13,73,0.18,268,1,0,2.9,2017-01-04
17,74,0.18,536,1,0,2.9,2017-01-04
4,75,0.14,496,8,0,2.9,2017-01-04
18,76,0.16,101,8,0,2.9,2017-01-04
15,77,0.14,920,4,0,2.9,2017-01-04
17,78,0.21,948,10,0,2.9,2017-01-04
14,79,0.13,681,2,0,2.9,2017-01-04
13,80,0.17,146,4,0,2.9,2017-01-04
13,81,0.12,159,2,0,2.9,2017-01-04
7,82,0.14,345,6,0,2.9,2017-01-04
21,83,0.19,92,2,0,2.9,2017-01-04
19,84,0.09,269,3,0,2.9,2017-01-04
20,85,0.13,478,6,0,2.9,2017-01-04
13,86,0.22,218,7,0,2.9,2017-01-04
15,87,0.17,465,6,0,2.9,2017-01-04
7,88,0.19,416,3,0,2.9,2017-01-04
14,89,0.17,268,5,0,2.9,2017-01-04
11,90,0.2,572,7,0,2.9,2017-01-04
20,91,0.15,259,5,0,2.9,2017-01-04
12,92,0.1,675,10,0,2.9,2017-01-04
11,93,0.18,547,7,0,2.9,2017-01-04
21,94,0.16,332,8,0,2.9,2017-01-04
15,95,0.15,397,2,0,2.9,2017-01-04
11,96,0.13,480,9,0,2.9,2017-01-04
12,97,0.14,908,10,0,2.9,2017-01-04
15,98,0.16,298,5,0,2.9,2017-01-04
19,99,0.15,665,8,0,2.9,2017-01-04
18,100,0.2,472,1,0,2.9,2017-01-04
7,1,0.14,988,2,0,-6.53,2017-01-05
10,2,0.12,926,4,0,-6.53,2017-01-05
17,3,0.17,466,4,0,-6.53,2017-01-05
8,4,0.18,395,1,0,-6.53,2017-01-05
16,5,0.12,380,6,0,-6.53,2017-01-05
15,6,0.2,992,2,0,-6.53,2017-01-05
18,7,0.16,787,1,0,-6.53,2017-01-05
16,8,0.15,48,4,0,-6.53,2017-01-05
14,9,0.12,945,8,0,-6.53,2017-01-05
20,10,0.15,414,4,0,-6.53,2017-01-05
18,11,0.15,865,5,0,-6.53,2017-01-05
10,12,0.16,604,6,0,-6.53,2017-01-05
18,13,0.21,981,2,0,-6.53,2017-01-05
16,14,0.17,170,6,0,-6.53,2017-01-05
12,15,0.12,160,2,0,-6.53,2017-01-05
8,16,0.22,726,6,0,-6.53,2017-01-05
19,17,0.15,357,4,0,-6.53,2017-01-05
19,18,0.22,119,10,0,-6.53,2017-01-05
19,19,0.15,664,5,0,-6.53,2017-01-05
6,20,0.13,266,1,0,-6.53,2017-01-05
6,21,0.18,780,1,0,-6.53,2017-01-05
14,22,0.14,475,4,0,-6.53,2017-01-05
20,23,0.17,92,10,0,-6.53,2017-01-05
24,24,0.13,329,10,0,-6.53,2017-01-05
20,25,0.11,367,6,0,-6.53,2017-01-05
16,26,0.15,177,5,0,-6.53,2017-01-05
17,27,0.16,816,5,0,-6.53,2017-01-05
19,28,0.18,224,4,0,-6.53,2017-01-05
7,29,0.07,721,8,0,-6.53,2017-01-05
13,30,0.12,663,7,0,-6.53,2017-01-05
16,31,0.15,884,7,0,-6.53,2017-01-05
17,32,0.12,282,6,0,-6.53,2017-01-05
11,33,0.15,765,5,0,-6.53,2017-01-05
11,34,0.16,194,8,0,-6.53,2017-01-05
11,35,0.18,735,6,0,-6.53,2017-01-05
9,36,0.13,661,8,0,-6.53,2017-01-05
21,37,0.18,368,10,0,-6.53,2017-01-05
18,38,0.21,323,4,0,-6.53,2017-01-05
21,39,0.18,523,1,0,-6.53,2017-01-05
14,40,0.23,220,8,0,-6.53,2017-01-05
8,41,0.21,864,3,0,-6.53,2017-01-05
19,42,0.19,359,5,0,-6.53,2017-01-05
8,43,0.17,179,9,0,-6.53,2017-01-05
11,44,0.19,519,3,0,-6.53,2017-01-05
22,45,0.14,910,3,0,-6.53,2017-01-05
11,46,0.09,971,9,0,-6.53,2017-01-05
21,47,0.18,526,5,0,-6.53,2017-01-05
9,48,0.15,458,7,0,-6.53,2017-01-05
21,49,0.15,243,8,0,-6.53,2017-01-05
20,50,0.19,663,8,0,-6.53,2017-01-05
11,51,0.16,662,8,0,-6.53,2017-01-05
16,52,0.15,90,9,0,-6.53,2017-01-05
21,53,0.1,149,3,0,-6.53,2017-01-05
9,54,0.18,341,2,0,-6.53,2017-01-05
24,55,0.22,951,6,0,-6.53,2017-01-05
22,56,0.15,898,9,0,-6.53,2017-01-05
7,57,0.17,516,9,0,-6.53,2017-01-05
26,58,0.1,178,1,0,-6.53,2017-01-05
17,59,0.16,832,9,0,-6.53,2017-01-05
7,60,0.12,807,10,0,-6.53,2017-01-05
11,61,0.19,96,5,0,-6.53,2017-01-05
11,62,0.18,225,7,0,-6.53,2017-01-05
18,63,0.17,474,9,0,-6.53,2017-01-05
9,64,0.13,487,10,0,-6.53,2017-01-05
23,65,0.11,472,1,0,-6.53,2017-01-05
13,66,0.2,846,9,0,-6.53,2017-01-05
7,67,0.14,243,1,0,-6.53,2017-01-05
3,68,0.17,168,5,0,-6.53,2017-01-05
17,69,0.2,780,9,0,-6.53,2017-01-05
10,70,0.16,947,3,0,-6.53,2017-01-05
6,71,0.11,980,9,0,-6.53,2017-01-05
9,72,0.17,78,9,0,-6.53,2017-01-05
17,73,0.14,261,9,0,-6.53,2017-01-05
17,74,0.21,574,9,0,-6.53,2017-01-05
3,75,0.17,485,9,0,-6.53,2017-01-05
23,76,0.22,86,1,0,-6.53,2017-01-05
4,77,0.2,978,10,0,-6.53,2017-01-05
13,78,0.14,922,5,0,-6.53,2017-01-05
17,79,0.15,686,1,0,-6.53,2017-01-05
11,80,0.15,144,7,0,-6.53,2017-01-05
15,81,0.12,153,3,0,-6.53,2017-01-05
5,82,0.19,340,4,0,-6.53,2017-01-05
23,83,0.15,109,5,0,-6.53,2017-01-05
23,84,0.15,284,4,0,-6.53,2017-01-05
21,85,0.13,456,1,0,-6.53,2017-01-05
14,86,0.14,204,5,0,-6.53,2017-01-05
16,87,0.16,510,2,0,-6.53,2017-01-05
11,88,0.21,427,4,0,-6.53,2017-01-05
15,89,0.2,272,9,0,-6.53,2017-01-05
18,90,0.15,615,2,0,-6.53,2017-01-05
11,91,0.12,220,1,0,-6.53,2017-01-05
21,92,0.19,693,2,0,-6.53,2017-01-05
16,93,0.17,498,1,0,-6.53,2017-01-05
11,94,0.22,375,4,0,-6.53,2017-01-05
16,95,0.16,368,9,0,-6.53,2017-01-05
18,96,0.18,508,9,0,-6.53,2017-01-05
12,97,0.17,928,4,0,-6.53,2017-01-05
16,98,0.12,316,10,0,-6.53,2017-01-05
16,99,0.12,665,7,0,-6.53,2017-01-05
9,100,0.13,522,2,0,-6.53,2017-01-05
5,1,0.22,1000,6,0,-2.18,2017-01-06
9,2,0.1,917,1,0,-2.18,2017-01-06
18,3,0.14,475,2,0,-2.18,2017-01-06
9,4,0.17,421,2,0,-2.18,2017-01-06
20,5,0.09,426,8,0,-2.18,2017-01-06
16,6,0.1,932,9,0,-2.18,2017-01-06
18,7,0.2,762,1,0,-2.18,2017-01-06
20,8,0.12,49,2,0,-2.18,2017-01-06
15,9,0.14,978,10,0,-2.18,2017-01-06
17,10,0.19,432,3,0,-2.18,2017-01-06
21,11,0.14,822,4,0,-2.18,2017-01-06
11,12,0.15,583,3,0,-2.18,2017-01-06
16,13,0.14,968,5,0,-2.18,2017-01-06
19,14,0.14,164,2,0,-2.18,2017-01-06
8,15,0.17,132,3,0,-2.18,2017-01-06
22,16,0.13,814,1,0,-2.18,2017-01-06
16,17,0.17,353,7,0,-2.18,2017-01-06
18,18,0.18,118,6,0,-2.18,2017-01-06
7,19,0.24,621,8,0,-2.18,2017-01-06
4,20,0.18,253,4,0,-2.18,2017-01-06
11,21,0.15,724,10,0,-2.18,2017-01-06
9,22,0.13,435,9,0,-2.18,2017-01-06
22,23,0.16,101,10,0,-2.18,2017-01-06
22,24,0.14,340,6,0,-2.18,2017-01-06
10,25,0.15,423,6,0,-2.18,2017-01-06
9,26,0.19,159,7,0,-2.18,2017-01-06
18,27,0.16,824,9,0,-2.18,2017-01-06
21,28,0.18,230,4,0,-2.18,2017-01-06
8,29,0.18,716,3,0,-2.18,2017-01-06
19,30,0.18,611,10,0,-2.18,2017-01-06
14,31,0.17,845,6,0,-2.18,2017-01-06
21,32,0.15,302,5,0,-2.18,2017-01-06
18,33,0.21,832,1,0,-2.18,2017-01-06
9,34,0.15,185,9,0,-2.18,2017-01-06
15,35,0.19,775,5,0,-2.18,2017-01-06
11,36,0.22,667,3,0,-2.18,2017-01-06
21,37,0.22,403,7,0,-2.18,2017-01-06
21,38,0.14,324,1,0,-2.18,2017-01-06
22,39,0.11,560,9,0,-2.18,2017-01-06
9,40,0.19,239,1,0,-2.18,2017-01-06
9,41,0.15,805,5,0,-2.18,2017-01-06
16,42,0.22,400,2,0,-2.18,2017-01-06
8,43,0.18,180,8,0,-2.18,2017-01-06
6,44,0.18,478,8,0,-2.18,2017-01-06
23,45,0.15,879,6,0,-2.18,2017-01-06
15,46,0.18,979,9,0,-2.18,2017-01-06
